Lot,Wafer,Mask,Row,Column,DieLabel,TestSite,Name,Date,AnalysisType,AnalysisWavelength [nm],IL(ref-01) [dB],IL(ref-02) [dB],Rsq_REF,Rsq_Spiral01,Rsq_Spiral02,Error_flag
AL810962,D03,SIPP21e,-4,4,(-4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-10.96218127926113,-52.541772227792535,0.9337542807300856,0.9428389673067947,0.6907502649615521,
AL810962,D03,SIPP21e,-5,0,(-5|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.729672134650173,-53.98717767924245,0.9669052730998166,0.9743257055526691,0.7925738233760818,
AL810962,D03,SIPP21e,-6,-2,(-6|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-10.879696373187471,-50.648604652204085,0.9457347968696236,0.9620076486350825,0.885579657566059,
AL810962,D03,SIPP21e,-6,2,(-6|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.392077121287002,-54.30641907264362,0.9544431420231811,0.9567390871129016,0.7410672335559572,
AL810962,D03,SIPP21e,-7,0,(-7|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.19435852353854,-52.52076138024495,0.9604269418227953,0.9658708530436054,0.8581583082586525,
AL810962,D03,SIPP21e,-9,0,(-9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.639041860151337,-54.49071110141813,0.9436492991742882,0.9274202807804106,0.680389408957502,
AL810962,D03,SIPP21e,0,-5,(0|-5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.585300562637713,-52.76728776012533,0.9256696196859175,0.8699157542637307,0.4654780410841979,
AL810962,D03,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-28.216189849219518,-54.538044859451475,0.9863599291056344,0.7115671696986245,0.22043298019217294,
AL810962,D03,SIPP21e,0,5,(0|5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.583932214794913,-54.56788117735414,0.9362554083916224,0.9148703826216139,0.49974209330508257,
AL810962,D03,SIPP21e,2,-2,(2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-11.431180813306128,-53.91520668404701,0.95893236344379,0.9753605494386344,0.5891801134850954,
AL810962,D03,SIPP21e,2,2,(2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20190927_151701,LOSS,1550.0,-37.746751893479086,-54.53705806720973,0.9650862623888585,0.7877886879489896,0.7095909579682012,
