Lot,Wafer,Mask,Row,Column,DieLabel,TestSite,Name,Date,AnalysisType,AnalysisWavelength [nm],IL(ref-01) [dB],IL(ref-02) [dB],Rsq_REF,Rsq_Spiral01,Rsq_Spiral02,Error_flag
AL913843,D02,SIPP21e,-2,-2,(-2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.751728121074848,-19.516570167732425,0.04111620837777741,0.08489706260827345,0.0014759051055992511,
AL913843,D02,SIPP21e,-2,2,(-2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.763700984651223,-19.40841056255158,0.0793819392965498,0.0186183255901331,0.005817047013295107,
AL913843,D02,SIPP21e,-4,-4,(-4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.561520764968009,-19.089004585446673,0.011570987208895156,0.04804639964157431,0.012966153549706427,
AL913843,D02,SIPP21e,-4,4,(-4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.779845466604456,-19.321014377608662,0.019377041961530117,0.07089150396790467,0.009943432687183562,
AL913843,D02,SIPP21e,-9,0,(-9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.852455329219083,-19.623480006393947,0.008821739533346307,0.01141199450655861,0.018093112352628227,
AL913843,D02,SIPP21e,0,-5,(0|-5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-10.039669472549576,-19.476246644655475,0.03908133855475715,0.03440629481588653,0.0010590371912946317,
AL913843,D02,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.951665624976158,-19.531202503014356,0.013990747454295738,0.0068517907092162655,0.029931870326160515,
AL913843,D02,SIPP21e,0,5,(0|5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.90306459669955,-19.31573546421714,0.02355503606225151,0.008601192919357237,0.02386815906399209,
AL913843,D02,SIPP21e,2,-2,(2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.778773100639228,-19.350602048099972,0.041473765707544574,0.002341301460037304,0.008823509766940685,
AL913843,D02,SIPP21e,2,2,(2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.537931576487608,-19.193577504483983,0.030131393402561546,0.012525780698999123,0.010248555131519455,
AL913843,D02,SIPP21e,3,0,(3|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.739884588780114,-19.746363345067948,0.049263033856867144,0.021605396043633207,0.009891682624748266,
AL913843,D02,SIPP21e,4,-4,(4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.82217732295976,-19.295763159316266,0.032379043218315084,0.014273792146845432,0.014945143695786811,
AL913843,D02,SIPP21e,4,4,(4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-10.086932761012577,-19.255635607405566,0.06149273541442846,0.0017975777656878966,0.008167096630410486,
AL913843,D02,SIPP21e,9,0,(9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200401_065631,LOSS,1550.0,-9.988410659658257,-19.30317601794377,0.07227172018869488,0.02469219721780047,0.016882425016062852,
AL913843,D03,SIPP21e,-2,-2,(-2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.261150435428135,-67.19144045346184,0.998079498822207,0.10123937746511924,0.032646824567204025,
AL913843,D03,SIPP21e,-2,2,(-2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.17398914428486,-65.81932378247438,0.9985843887416959,0.013431813570115692,0.14173796992061172,
AL913843,D03,SIPP21e,-4,-4,(-4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.964517969827284,-67.59755384079472,0.9983752628019308,0.01026498775122664,0.062387696632156264,
AL913843,D03,SIPP21e,-4,4,(-4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.84759874509473,-65.36972650322423,0.9978484248154192,0.0558975033146325,0.031737871271169005,
AL913843,D03,SIPP21e,-9,0,(-9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-56.43748122204124,-66.20991384627996,0.9982149975175911,0.07888727115881533,0.031005707109545977,
AL913843,D03,SIPP21e,0,-5,(0|-5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-56.48284605081426,-65.28577644826146,0.9985656575808608,0.16338292723372116,0.05421673729317744,
AL913843,D03,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-54.57534480624963,-65.12202510418501,0.9980298529155109,0.02982037835620288,0.021807792783392843,
AL913843,D03,SIPP21e,0,5,(0|5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.865420960995834,-68.1794943146524,0.9982043292627699,0.07210080728179624,0.1281094343395046,
AL913843,D03,SIPP21e,2,-2,(2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.64024406952467,-67.24544962194432,0.9975728034506071,0.03161421551853594,0.04463483082823683,
AL913843,D03,SIPP21e,2,2,(2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.08927607181613,-66.5847427780136,0.9984802931989926,0.1574920674177679,0.03904578577876394,
AL913843,D03,SIPP21e,3,0,(3|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.05277907624259,-67.02044154642499,0.9985731033479825,0.07168186103951157,0.15357449657377764,
AL913843,D03,SIPP21e,4,-4,(4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.42419617224368,-66.39953354673344,0.998578080606014,0.007171394146049059,0.0580201916496188,
AL913843,D03,SIPP21e,4,4,(4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-55.55461865128018,-67.17699015288963,0.9980220500431435,0.03653127113150534,0.0013965329927679848,
AL913843,D03,SIPP21e,9,0,(9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_114909,LOSS,1550.0,-56.287781629231176,-66.8469825576467,0.9986238092984864,0.06438035305796241,0.03820616857664538,
AL913843,D03,SIPP21e,-2,-2,(-2|-2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-46.799768014403526,0.9941876326528496,0.1691049517905011,0.0,,
AL913843,D03,SIPP21e,-2,2,(-2|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-51.38250197436719,0.9952869522175556,0.025639437782816743,0.0,,
AL913843,D03,SIPP21e,-4,-4,(-4|-4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-48.87819135587779,0.9974877916382143,0.0438901244622012,0.0,,
AL913843,D03,SIPP21e,-4,4,(-4|4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-50.532754979722085,0.9967162106788638,0.006224905368453104,0.0,,
AL913843,D03,SIPP21e,-9,0,(-9|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-51.19957679716754,0.9961369161589492,0.04338823613392262,0.0,,
AL913843,D03,SIPP21e,0,-5,(0|-5),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-49.46099856880028,0.9959982171429143,0.048282905242308605,0.0,,
AL913843,D03,SIPP21e,0,0,(0|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-3.808097713277675,0.9962070874207793,0.9847292580059553,0.0,,
AL913843,D03,SIPP21e,0,5,(0|5),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-51.919984687585384,0.9967761394096772,0.02046045452738754,0.0,,
AL913843,D03,SIPP21e,2,-2,(2|-2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-49.519496619053825,0.9975040488703538,0.04434357236598019,0.0,,
AL913843,D03,SIPP21e,2,2,(2|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-51.4977986695485,0.9965057083169082,0.0596990463058934,0.0,,
AL913843,D03,SIPP21e,3,0,(3|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-49.98612524548662,0.9959964538242808,0.14287847314445967,0.0,,
AL913843,D03,SIPP21e,4,-4,(4|-4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-50.02405479553272,0.9975748868069235,0.001045739621075903,0.0,,
AL913843,D03,SIPP21e,4,4,(4|4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-50.61443958633754,0.9977934846320491,0.0003469776958667792,0.0,,
AL913843,D03,SIPP21e,9,0,(9|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200502_192906,LOSS,1310.0,-49.91184078829974,0.996118075561302,0.04009162901646257,0.0,,
AL913843,D04,SIPP21e,-2,-2,(-2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-10.707774782531487,-58.866346333037654,0.9972243349301761,0.9966713787697656,0.25367794023134493,
AL913843,D04,SIPP21e,-2,2,(-2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-10.460698093927931,-57.486231127157225,0.9968352265802133,0.9971691297136567,0.40537282934728935,
AL913843,D04,SIPP21e,-4,-4,(-4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-11.18352344945015,-51.568103524667094,0.9977295307230172,0.995154429712771,0.046133170304115234,
AL913843,D04,SIPP21e,-4,4,(-4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-14.54702318980435,-52.29362536710414,0.9981480486448832,0.9733272876694496,0.09642209951328462,
AL913843,D04,SIPP21e,-9,0,(-9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-11.836088665404532,-55.95861875623814,0.997712616353428,0.995396082782104,0.08620408946614755,
AL913843,D04,SIPP21e,0,-5,(0|-5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-14.986925855839218,-52.005020326789236,0.9985245291627636,0.9885965774204617,0.02595517469380526,
AL913843,D04,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-12.417690950329416,-69.19037415891944,0.9972612309766816,0.9955289573499231,0.013646877040883187,
AL913843,D04,SIPP21e,0,5,(0|5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-47.4853495107418,-67.52423904411626,0.9980987207501162,0.8176854791450943,0.188116764826888,
AL913843,D04,SIPP21e,2,-2,(2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-11.800275818181035,-58.02876343675598,0.997507620565255,0.996448425805832,0.2868918084768164,
AL913843,D04,SIPP21e,2,2,(2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200331_193014,LOSS,1550.0,-10.545242864711327,-58.42202972553787,0.9965455994507106,0.9964524341498865,0.5103277100149991,
